topic_id,like_count,reply_count,engagement_score,created_at
16531,0,0,0,2024-10-02 09:19:15.438
16438,0,0,0,2024-10-02 01:37:21.826
16437,0,0,0,2024-10-02 01:37:19.333
16436,0,0,0,2024-10-02 01:37:16.981
16435,1,0,1,2024-10-02 01:37:14.572
16434,1,1,2,2024-10-02 01:37:11.714
16407,2,0,2,2024-10-01 02:17:57.646
16406,2,0,2,2024-10-01 02:17:54.217
16405,3,0,3,2024-10-01 02:17:51.124
16404,4,0,4,2024-10-01 02:17:50.147
16403,3,0,3,2024-10-01 02:17:43.486
16375,0,0,0,2024-09-30 01:51:05.401
16374,2,0,2,2024-09-30 01:51:03.592
16373,1,0,1,2024-09-30 01:51:01.644
16351,2,1,3,2024-09-29 00:30:59.878
16350,2,0,2,2024-09-29 00:30:50.850
16349,1,0,1,2024-09-29 00:30:18.188
16334,1,4,5,2024-09-28 00:41:04.191
16323,1,0,1,2024-09-26 23:52:32.125
16322,0,0,0,2024-09-26 23:52:28.295
16309,0,0,0,2024-09-26 03:59:12.241
16306,4,3,7,2024-09-26 00:25:42.064
16278,1,0,1,2024-09-25 00:13:46.153
16277,0,0,0,2024-09-25 00:13:43.381
16276,4,0,4,2024-09-25 00:13:37.525
16275,0,0,0,2024-09-25 00:13:34.914
16257,2,0,2,2024-09-24 01:52:23.952
16251,1,0,1,2024-09-24 00:25:06.236
16250,1,0,1,2024-09-24 00:25:01.626
16236,0,0,0,2024-09-23 08:07:31.378
16225,2,0,2,2024-09-23 03:56:02.936
16090,1,0,1,2024-09-23 01:21:16.485
16089,0,0,0,2024-09-23 01:21:09.799
16072,0,0,0,2024-09-22 03:15:30.129
16059,1,6,7,2024-09-21 01:53:00.467
16058,0,0,0,2024-09-21 01:52:57.788
16057,1,2,3,2024-09-21 01:52:48.869
16056,0,4,4,2024-09-21 01:52:46.510
16010,0,0,0,2024-09-20 04:10:25.091
16008,0,1,1,2024-09-20 01:06:27.506
16007,0,0,0,2024-09-20 01:06:25.372
15996,0,1,1,2024-09-19 01:03:51.274
15995,5,1,6,2024-09-19 01:03:48.668
15994,2,2,4,2024-09-19 01:03:45.922
15993,2,0,2,2024-09-19 01:03:43.194
15978,1,0,1,2024-09-18 00:25:32.831
15968,6,0,6,2024-09-17 05:46:55.853
15942,0,0,0,2024-09-15 05:07:47.383
15930,1,4,5,2024-09-14 06:47:54.851
15883,3,0,3,2024-09-12 08:57:14.675
15880,6,3,9,2024-09-12 01:28:47.382
15867,1,0,1,2024-09-11 12:10:28.846
15851,0,1,1,2024-09-11 01:07:58.207
15850,3,2,5,2024-09-11 01:07:51.207
15821,1,1,2,2024-09-10 02:16:50.492
15820,4,3,7,2024-09-10 02:16:48.396
15819,2,0,2,2024-09-10 02:16:45.540
15802,5,4,9,2024-09-09 01:50:05.659
15801,21,4,25,2024-09-09 01:50:01.400
15780,4,0,4,2024-09-08 01:01:26.057
15779,3,0,3,2024-09-08 01:01:01.649
15778,6,1,7,2024-09-08 01:00:57.299
15777,0,0,0,2024-09-08 01:00:52.250
15776,0,1,1,2024-09-08 01:00:50.228
15754,0,0,0,2024-09-07 01:42:22.365
15753,2,0,2,2024-09-07 01:42:19.670
15752,15,7,22,2024-09-07 01:42:17.343
15563,2,0,2,2024-09-06 06:14:44.209
15486,1,0,1,2024-09-06 00:55:45.198
15468,0,3,3,2024-09-05 01:39:48.719
15467,1,0,1,2024-09-05 01:39:46.899
15466,5,0,5,2024-09-05 01:39:45.061
15434,0,0,0,2024-09-03 06:57:09.886
15431,2,0,2,2024-09-03 01:30:43.669
15430,6,0,6,2024-09-03 01:30:28.707
15419,1,0,1,2024-09-02 08:15:13.424
15410,4,1,5,2024-09-02 02:51:58.116
15409,3,2,5,2024-09-02 02:51:51.009
15408,6,1,7,2024-09-02 02:51:43.934
15407,0,0,0,2024-09-02 02:51:40.150
15236,2,1,3,2024-08-29 01:56:12.258
15235,0,0,0,2024-08-29 01:56:02.619
15162,0,0,0,2024-08-28 00:29:12.169
15161,0,0,0,2024-08-28 00:29:09.155
15133,5,1,6,2024-08-26 07:11:01.160
15118,0,0,0,2024-08-26 00:58:44.441
15117,0,0,0,2024-08-26 00:58:39.052
15116,0,0,0,2024-08-26 00:58:29.688
15110,2,0,2,2024-08-25 08:22:02.702
15109,2,0,2,2024-08-25 08:21:52.790
15108,2,0,2,2024-08-25 08:21:48.910
15107,5,0,5,2024-08-25 08:21:46.768
15105,1,1,2,2024-08-25 08:21:43.084
15104,0,0,0,2024-08-25 08:21:40.241
15071,2,0,2,2024-08-23 00:39:49.535
15070,0,0,0,2024-08-23 00:39:40.972
15069,0,0,0,2024-08-23 00:39:34.911
15068,1,0,1,2024-08-23 00:39:30.651
15067,1,0,1,2024-08-23 00:39:25.538
15066,0,0,0,2024-08-23 00:39:19.520
15035,0,0,0,2024-08-22 01:50:25.518
15029,3,0,3,2024-08-22 00:59:55.321
15028,2,0,2,2024-08-22 00:59:52.205
15027,0,0,0,2024-08-22 00:59:40.406
15026,6,2,8,2024-08-22 00:59:34.287
15016,2,2,4,2024-08-21 07:51:38.486
15006,0,0,0,2024-08-21 00:50:08.913
15005,0,0,0,2024-08-21 00:50:00.383
15004,0,0,0,2024-08-21 00:49:57.171
15003,0,0,0,2024-08-21 00:49:53.585
14989,2,1,3,2024-08-20 07:17:09.051
14981,0,0,0,2024-08-20 05:32:08.029
14970,1,1,2,2024-08-20 01:53:31.570
14969,3,0,3,2024-08-20 01:53:27.776
14945,0,0,0,2024-08-19 01:24:53.349
14944,1,0,1,2024-08-19 01:24:50.446
14943,3,1,4,2024-08-19 01:24:46.093
14942,0,0,0,2024-08-19 01:24:43.063
14941,0,0,0,2024-08-19 01:24:41.254
14920,0,0,0,2024-08-18 00:54:09.320
14919,0,0,0,2024-08-18 00:54:06.617
14918,0,0,0,2024-08-18 00:54:03.039
14917,0,4,4,2024-08-18 00:53:59.959
14916,0,0,0,2024-08-18 00:53:49.371
14915,0,4,4,2024-08-18 00:53:45.016
14914,1,0,1,2024-08-18 00:53:43.143
14889,0,0,0,2024-08-15 02:07:09.783
14867,4,0,4,2024-08-12 06:33:03.609
14860,10,10,20,2024-08-12 01:20:02.011
14859,1,0,1,2024-08-12 01:19:59.799
14858,1,0,1,2024-08-12 01:19:57.159
14857,24,4,28,2024-08-12 01:19:55.099
14856,0,2,2,2024-08-12 01:19:44.116
14828,0,0,0,2024-08-10 03:32:08.521
14827,2,0,2,2024-08-10 03:32:06.441
14809,0,1,1,2024-08-08 02:30:21.302
14808,2,0,2,2024-08-08 02:30:18.841
14807,0,0,0,2024-08-08 02:30:16.303
14765,0,0,0,2024-08-07 00:54:33.526
14759,0,0,0,2024-08-06 07:38:59.502
14727,2,0,2,2024-08-06 03:41:09.535
14719,2,0,2,2024-08-06 02:22:23.099
14718,1,0,1,2024-08-06 02:22:10.561
14515,0,0,0,2024-08-05 03:05:55.190
14514,2,3,5,2024-08-05 03:05:52.774
14487,1,0,1,2024-08-03 08:17:18.381
14486,0,0,0,2024-08-03 08:17:16.927
14485,1,0,1,2024-08-03 08:17:14.680
14484,0,0,0,2024-08-03 08:17:11.594
14483,1,0,1,2024-08-03 08:17:08.965
14482,10,8,18,2024-08-03 08:17:03.746
14474,2,1,3,2024-08-02 06:57:00.541
14473,0,0,0,2024-08-02 06:56:50.269
14472,0,0,0,2024-08-02 06:56:04.208
14471,0,0,0,2024-08-02 06:54:40.294
14462,1,1,2,2024-08-02 02:28:17.685
14457,1,0,1,2024-07-31 23:40:36.857
14304,0,0,0,2024-07-31 00:23:01.203
14303,6,1,7,2024-07-31 00:22:53.141
14280,2,1,3,2024-07-30 00:26:50.217
14259,4,2,6,2024-07-29 00:26:35.531
14250,0,0,0,2024-07-28 06:34:26.027
14249,1,0,1,2024-07-28 06:34:22.630
14248,1,0,1,2024-07-28 06:34:19.568
14247,0,0,0,2024-07-28 06:34:12.926
14229,6,0,6,2024-07-27 03:36:36.810
14228,1,0,1,2024-07-27 03:36:30.962
14215,4,0,4,2024-07-26 02:26:48.482
14191,5,4,9,2024-07-25 01:54:39.263
14185,7,3,10,2024-07-24 04:11:30.818
14173,4,0,4,2024-07-23 06:28:33.162
14165,2,0,2,2024-07-23 01:39:21.568
14141,3,0,3,2024-07-22 00:16:01.072
14140,4,3,7,2024-07-22 00:15:57.651
14128,2,3,5,2024-07-21 03:30:49.389
14096,19,8,27,2024-07-18 07:30:29.872
14093,0,0,0,2024-07-18 06:10:49.729
14087,3,3,6,2024-07-18 02:23:52.783
14086,0,0,0,2024-07-18 02:23:49.890
14085,5,5,10,2024-07-18 02:23:47.325
13890,3,0,3,2024-07-17 04:57:06.999
13874,8,3,11,2024-07-16 02:39:05.315
13866,1,0,1,2024-07-15 07:29:37.187
13865,3,2,5,2024-07-15 07:29:35.310
13856,4,1,5,2024-07-15 03:57:39.796
13841,2,0,2,2024-07-14 05:00:28.441
13829,1,0,1,2024-07-13 02:30:53.293
13816,2,0,2,2024-07-12 01:07:04.918
13814,3,0,3,2024-07-11 23:52:43.097
13783,9,0,9,2024-07-11 01:54:06.036
13568,2,0,2,2024-07-10 01:33:03.059
13561,1,1,2,2024-07-09 14:00:50.291
13547,3,0,3,2024-07-09 01:06:45.836
13526,0,0,0,2024-07-08 01:09:03.738
13525,0,0,0,2024-07-08 01:08:59.390
13507,0,0,0,2024-07-07 00:25:29.740
13506,0,0,0,2024-07-07 00:25:27.566
13494,1,0,1,2024-07-06 01:30:33.909
13472,1,0,1,2024-07-05 07:43:00.563
13470,0,0,0,2024-07-05 06:19:57.054
13463,1,0,1,2024-07-04 23:26:49.885
13451,2,0,2,2024-07-04 00:34:26.461
13450,2,0,2,2024-07-04 00:34:01.453
13440,7,4,11,2024-07-03 12:37:41.815
13431,3,1,4,2024-07-03 02:52:22.421
13430,7,3,10,2024-07-03 00:38:42.418
13419,0,0,0,2024-07-02 05:53:25.116
13418,0,2,2,2024-07-02 05:53:22.415
13411,0,0,0,2024-07-02 03:05:25.198
13407,1,0,1,2024-07-02 01:29:51.942
13406,0,1,1,2024-07-02 01:29:45.599
13405,0,0,0,2024-07-02 01:29:38.413
13404,1,0,1,2024-07-02 01:29:28.849
13403,5,4,9,2024-07-02 01:29:18.446
13402,0,0,0,2024-07-02 01:29:12.314
13377,0,0,0,2024-07-01 00:53:24.878
13366,4,0,4,2024-06-30 00:31:49.854
13365,3,0,3,2024-06-30 00:31:43.652
13357,1,3,4,2024-06-29 12:49:50.802
13349,0,0,0,2024-06-29 01:47:11.715
13348,1,1,2,2024-06-29 01:46:57.812
13347,0,0,0,2024-06-29 01:46:53.384
13346,0,0,0,2024-06-29 01:46:46.147
13345,0,0,0,2024-06-29 01:46:37.457
13320,4,0,4,2024-06-27 13:24:55.955
13254,0,0,0,2024-06-27 02:04:36.714
13253,0,0,0,2024-06-27 00:27:16.948
13252,1,0,1,2024-06-27 00:27:13.698
13251,3,4,7,2024-06-27 00:27:04.402
13245,1,1,2,2024-06-26 08:55:05.360
13237,3,13,16,2024-06-26 00:12:36.220
13231,0,0,0,2024-06-25 14:03:18.409
13222,2,0,2,2024-06-24 23:33:41.378
13221,0,4,4,2024-06-24 23:33:25.700
13220,0,2,2,2024-06-24 23:33:04.056
13219,0,0,0,2024-06-24 23:32:47.487
13218,1,0,1,2024-06-24 23:32:41.995
13217,5,3,8,2024-06-24 23:32:16.380
13216,6,3,9,2024-06-24 23:32:10.942
13186,1,0,1,2024-06-23 23:33:43.919
13185,1,1,2,2024-06-23 23:33:38.934
13184,1,0,1,2024-06-23 23:33:33.722
13159,14,5,19,2024-06-23 01:00:38.796
13158,1,0,1,2024-06-23 01:00:33.556
13145,0,0,0,2024-06-22 01:00:19.076
13144,0,0,0,2024-06-22 01:00:14.127
13131,4,1,5,2024-06-21 07:25:23.576
13120,1,0,1,2024-06-21 00:05:28.453
13119,0,0,0,2024-06-21 00:05:20.278
13118,8,10,18,2024-06-21 00:05:05.849
13117,2,1,3,2024-06-21 00:03:49.688
13116,0,0,0,2024-06-21 00:03:42.298
13115,2,0,2,2024-06-21 00:03:35.343
13114,0,0,0,2024-06-21 00:03:01.576
13088,3,2,5,2024-06-19 13:49:53.568
13078,0,0,0,2024-06-19 00:33:55.835
13067,2,0,2,2024-06-18 08:31:23.333
13066,2,1,3,2024-06-18 08:31:16.721
13059,2,0,2,2024-06-18 03:20:50.077
13058,0,0,0,2024-06-18 03:20:01.219
13036,2,0,2,2024-06-16 03:39:01.397
13034,6,2,8,2024-06-16 00:37:11.050
13029,10,7,17,2024-06-15 15:00:44.825
13026,2,3,5,2024-06-15 13:37:30.989
13016,10,1,11,2024-06-15 09:07:44.303
12913,4,0,4,2024-06-15 01:00:11.553
12912,0,0,0,2024-06-15 00:59:55.719
12891,2,0,2,2024-06-14 00:35:05.028
12890,7,4,11,2024-06-14 00:34:46.180
12857,12,1,13,2024-06-12 00:22:29.739
12841,4,0,4,2024-06-11 00:15:17.191
12833,5,0,5,2024-06-10 02:09:05.109
12832,0,0,0,2024-06-10 02:08:47.833
12831,1,0,1,2024-06-10 02:08:45.129
12830,4,4,8,2024-06-10 02:08:37.135
12802,1,0,1,2024-06-08 07:45:48.153
12801,1,1,2,2024-06-08 07:45:22.045
12787,4,0,4,2024-06-06 02:53:33.482
12781,1,1,2,2024-06-05 00:45:53.374
12780,0,1,1,2024-06-05 00:45:46.661
12779,7,3,10,2024-06-05 00:45:43.322
12778,1,1,2,2024-06-05 00:45:34.517
12716,2,0,2,2024-06-02 00:26:33.664
12706,5,0,5,2024-06-01 04:18:33.058
12626,2,3,5,2024-05-31 08:58:06.382
12602,0,0,0,2024-05-31 02:28:24.865
12601,2,0,2,2024-05-31 02:28:21.041
12600,4,3,7,2024-05-31 02:28:16.276
12583,2,2,4,2024-05-30 07:23:11.172
12582,2,0,2,2024-05-30 07:23:07.684
12576,6,3,9,2024-05-30 01:12:52.157
12570,1,1,2,2024-05-29 09:36:18.686
12567,1,0,1,2024-05-29 06:14:08.827
12565,0,0,0,2024-05-29 00:59:27.862
12560,2,0,2,2024-05-28 09:52:33.668
12556,3,0,3,2024-05-28 08:08:51.435
12551,3,0,3,2024-05-28 02:02:38.671
12544,2,0,2,2024-05-27 01:06:26.344
12535,2,0,2,2024-05-26 06:19:38.995
12534,1,0,1,2024-05-26 06:19:27.583
12530,0,0,0,2024-05-26 02:25:09.309
12527,0,0,0,2024-05-25 02:42:02.832
12526,0,0,0,2024-05-25 02:41:49.261
12525,1,0,1,2024-05-25 02:41:18.064
12512,1,0,1,2024-05-24 08:44:56.475
12502,0,4,4,2024-05-24 03:18:38.575
12501,0,1,1,2024-05-24 03:18:34.936
12499,0,0,0,2024-05-24 03:18:18.047
12498,0,0,0,2024-05-24 03:18:12.988
12449,1,0,1,2024-05-22 08:22:26.357
12448,8,2,10,2024-05-22 08:22:16.884
12442,5,8,13,2024-05-22 02:57:34.582
12441,8,5,13,2024-05-22 02:39:56.385
12440,0,0,0,2024-05-22 02:39:47.469
12425,10,3,13,2024-05-21 07:00:28.038
12416,2,0,2,2024-05-20 09:36:15.917
12415,2,0,2,2024-05-20 09:12:03.813
12411,4,0,4,2024-05-20 01:24:18.115
12410,2,5,7,2024-05-20 01:24:13.303
12409,0,1,1,2024-05-20 01:23:56.317
12408,3,1,4,2024-05-20 01:23:35.925
12376,1,2,3,2024-05-17 02:01:24.483
12375,6,2,8,2024-05-17 02:01:21.296
12360,2,0,2,2024-05-16 01:25:34.577
12359,6,2,8,2024-05-16 01:25:20.961
12358,1,0,1,2024-05-16 01:24:36.532
11915,0,0,0,2024-05-15 02:22:31.504
11781,6,1,7,2024-05-13 02:37:59.356
11774,3,0,3,2024-05-13 00:50:36.200
11773,3,1,4,2024-05-13 00:50:27.799
11747,0,1,1,2024-05-09 02:31:45.096
11746,8,2,10,2024-05-09 02:31:33.742
11739,1,0,1,2024-05-08 10:02:58.628
11722,2,0,2,2024-05-08 01:31:13.401
11721,2,0,2,2024-05-08 01:31:09.438
11720,3,1,4,2024-05-08 01:31:05.882
11714,0,0,0,2024-05-07 10:05:07.251
11713,3,0,3,2024-05-07 10:05:04.739
11707,1,1,2,2024-05-07 02:49:51.293
11706,3,2,5,2024-05-07 02:49:44.995
11700,2,0,2,2024-05-06 10:56:24.455
11699,2,0,2,2024-05-06 10:55:05.366
11690,0,0,0,2024-05-06 01:50:56.336
11689,0,0,0,2024-05-06 01:50:07.811
11688,4,1,5,2024-05-06 01:49:49.242
11687,0,0,0,2024-05-06 01:49:28.327
11666,0,0,0,2024-05-03 11:11:48.126
11665,0,0,0,2024-05-03 11:11:36.233
11564,0,0,0,2024-05-03 02:07:59.227
11563,6,3,9,2024-05-03 02:07:37.633
11562,0,0,0,2024-05-03 02:06:45.657
11561,0,1,1,2024-05-03 02:06:34.384
11554,2,3,5,2024-05-02 11:04:30.341
11553,1,2,3,2024-05-02 09:30:25.133
11552,0,0,0,2024-05-02 09:29:19.776
11239,6,2,8,2024-05-02 01:37:20.252
11238,1,0,1,2024-05-02 01:36:57.664
10544,5,1,6,2024-04-26 04:33:56.914
10543,3,6,9,2024-04-26 04:33:13.890
10137,1,0,1,2024-04-24 07:08:03.407
10136,1,0,1,2024-04-24 07:07:39.357
9492,4,0,4,2024-04-15 08:13:23.125
9351,4,3,7,2024-04-09 06:12:46.291
9341,11,0,11,2024-04-08 09:18:20.822
9340,5,0,5,2024-04-08 09:16:21.864
9318,9,0,9,2024-04-05 05:11:18.772
9317,2,0,2,2024-04-05 05:11:16.095
9274,2,0,2,2024-04-01 08:39:56.079
9273,6,0,6,2024-04-01 08:39:33.452
9271,11,2,13,2024-04-01 08:38:08.470
9270,8,0,8,2024-04-01 08:38:03.977
9268,7,3,10,2024-04-01 06:07:11.089
9267,2,1,3,2024-04-01 06:06:43.707
9238,4,0,4,2024-03-29 07:19:34.674
9231,7,0,7,2024-03-28 01:53:19.085
9230,3,0,3,2024-03-28 01:53:12.946
9212,3,0,3,2024-03-27 03:19:06.205
9210,3,1,4,2024-03-27 03:17:26.030
9202,2,0,2,2024-03-26 09:18:57.852
9196,7,1,8,2024-03-26 03:26:05.543
9195,7,3,10,2024-03-26 03:25:48.839
9194,15,4,19,2024-03-26 03:25:40.606
9173,4,0,4,2024-03-25 02:11:39.465
9172,3,0,3,2024-03-25 02:11:13.434
9170,20,6,26,2024-03-25 02:09:46.526
9153,17,4,21,2024-03-24 01:14:55.093
9152,2,0,2,2024-03-24 01:14:22.200
9151,5,0,5,2024-03-24 01:13:53.721
9150,1,0,1,2024-03-24 01:13:48.235
9132,2,0,2,2024-03-22 08:14:52.589
9131,3,0,3,2024-03-22 08:14:42.471
9128,8,5,13,2024-03-22 02:52:29.486
9127,10,0,10,2024-03-22 02:52:16.659
9126,4,0,4,2024-03-22 02:51:55.623
9116,1,0,1,2024-03-21 02:44:01.022
9115,10,0,10,2024-03-21 02:43:56.964
9107,4,4,8,2024-03-20 09:19:33.615
9106,12,6,18,2024-03-20 09:19:12.667
9075,6,0,6,2024-03-20 05:13:21.464
9041,1,0,1,2024-03-19 01:35:53.764
9040,23,4,27,2024-03-19 01:35:44.845
9039,2,0,2,2024-03-19 01:35:35.936
9038,0,0,0,2024-03-19 01:35:03.584
9025,3,0,3,2024-03-18 02:22:51.975
9012,4,1,5,2024-03-17 02:31:25.144
9011,9,1,10,2024-03-17 02:30:06.657
9010,5,1,6,2024-03-17 02:29:58.524
9009,3,0,3,2024-03-17 02:29:21.714
8996,4,0,4,2024-03-16 02:38:23.483
8959,3,3,6,2024-03-14 02:20:51.212
8950,8,0,8,2024-03-13 04:03:51.990
8937,16,1,17,2024-03-12 09:34:06.780
8936,2,0,2,2024-03-12 09:33:35.307
8931,0,1,1,2024-03-12 05:59:06.898
